day,minutes_bedroom,minutes_bathroom,minutes_kitchen,minutes_living_room,minutes_office,minutes_entrance,first_exit_minutes,night_bathroom_visits,motion_events
2010-11-05,183,46,193,231,130,29,258.0,1.0,8108
2010-11-06,81,40,186,295,22,15,263.0,1.0,5612
2010-11-07,206,53,243,485,25,10,455.0,3.0,8178
2010-11-08,87,32,230,327,26,23,340.0,1.0,5788
2010-11-09,116,45,240,371,82,19,331.0,2.0,9348
2010-11-10,97,29,129,277,5,11,401.0,1.0,4925
2010-11-11,106,43,197,276,24,7,313.0,1.0,6152
2010-11-12,109,51,158,344,49,17,271.0,1.0,6284
2010-11-13,160,34,149,355,111,7,316.0,1.0,6882
2010-11-14,88,23,112,279,7,4,362.0,0.0,4096
2010-11-15,98,32,150,214,9,24,332.0,1.0,4222
2010-11-16,107,50,196,378,57,29,244.0,10.0,6350
2010-11-17,106,28,95,192,1,6,425.0,2.0,3283
2010-11-18,98,33,135,277,23,9,339.0,2.0,4851
2010-11-19,73,27,106,320,0,2,461.0,2.0,4250
2010-11-20,102,33,281,438,40,19,498.0,3.0,9312
2010-11-21,128,38,147,250,45,24,377.0,1.0,5356
2010-11-22,74,38,198,505,6,2,344.0,1.0,7290
2010-11-23,105,32,147,480,4,10,353.0,2.0,6524
2010-11-24,77,26,274,354,6,7,339.0,2.0,8128
2010-11-25,130,42,242,347,36,22,341.0,2.0,8390
2010-11-26,94,36,142,465,3,10,351.0,3.0,6536
2010-11-27,101,26,126,459,1,8,324.0,1.0,6090
2010-11-28,119,33,232,295,11,12,321.0,1.0,6521
2010-11-29,97,38,154,330,1,10,398.0,2.0,5401
2010-11-30,111,38,229,338,43,18,363.0,2.0,8020
2010-12-01,93,43,174,384,20,6,531.0,0.0,5916
2010-12-02,100,31,150,285,0,8,271.0,1.0,5196
2010-12-03,85,37,129,362,1,10,398.0,2.0,5224
2010-12-04,106,41,191,318,1,14,452.0,0.0,5814
2010-12-05,126,36,348,481,109,19,275.0,2.0,11184
2010-12-06,166,55,252,483,28,34,258.0,1.0,9844
2010-12-07,147,46,278,379,11,22,315.0,2.0,8955
2010-12-08,118,41,174,373,29,4,245.0,1.0,6068
2010-12-09,97,42,116,256,23,15,356.0,2.0,4514
2010-12-10,67,30,95,237,2,12,357.0,1.0,3863
2010-12-11,135,40,115,395,7,7,509.0,2.0,5804
2010-12-12,102,38,183,273,17,3,356.0,2.0,5230
2010-12-13,78,40,226,304,29,20,357.0,2.0,6178
2010-12-14,90,34,195,441,4,31,380.0,0.0,7216
2010-12-15,76,35,114,293,5,5,312.0,3.0,4461
2010-12-16,78,41,158,363,3,5,417.0,1.0,5499
2010-12-17,83,28,298,479,3,21,366.0,0.0,9830
2010-12-18,103,41,256,548,4,23,425.0,2.0,10401
2010-12-19,104,35,242,449,15,28,443.0,1.0,9076
2010-12-20,124,42,149,296,14,22,312.0,2.0,5534
2010-12-21,89,33,199,370,7,3,626.0,2.0,6836
2010-12-22,111,42,192,386,2,6,367.0,2.0,7042
2010-12-23,92,41,261,455,142,46,310.0,2.0,9934
2010-12-24,124,47,248,206,18,14,398.0,1.0,7175
2010-12-25,120,49,176,329,23,17,357.0,1.0,6406
2010-12-26,85,43,119,335,18,13,294.0,2.0,5071
2010-12-27,65,27,256,513,354,40,474.0,0.0,12718
2010-12-28,122,52,359,848,16,48,255.0,2.0,16408
2010-12-29,123,42,337,821,28,25,264.0,1.0,17660
2010-12-30,154,42,372,745,128,53,257.0,2.0,14732
