day,severity,combined,peak_z,driver,moderate_count
2010-11-19,Normal,2.71,1.92,first_exit_minutes,0
2010-11-20,Normal,2.28,1.84,first_exit_minutes,0
2010-11-21,Normal,2.1,1.7,minutes_bedroom,0
2010-11-22,Normal,0.45,0.45,minutes_bathroom,0
2010-11-23,Normal,0.88,0.67,night_bathroom_visits,0
2010-11-24,Normal,0.67,0.67,night_bathroom_visits,0
2010-11-25,Normal,1.73,1.28,minutes_bedroom,0
2010-11-26,Normal,1.55,1.35,night_bathroom_visits,0
2010-11-27,Normal,0.93,0.93,minutes_kitchen,0
2010-11-28,Normal,0.96,0.82,minutes_bedroom,0
2010-11-29,Normal,2.01,1.72,first_exit_minutes,0
2010-11-30,Normal,1.12,0.67,night_bathroom_visits,0
2010-12-01,High,5.56,5.47,first_exit_minutes,1
2010-12-02,Normal,1.04,0.73,motion_events,0
2010-12-03,Normal,1.94,1.49,first_exit_minutes,0
2010-12-04,Normal,2.84,2.64,first_exit_minutes,0
2010-12-05,Normal,2.1,2.07,minutes_bedroom,0
2010-12-06,High,6.67,5.44,minutes_bedroom,2
2010-12-07,Medium,3.72,3.45,minutes_bedroom,1
2010-12-08,Normal,1.34,1.15,minutes_bedroom,0
2010-12-09,Normal,2.11,1.14,motion_events,0
2010-12-10,Normal,2.27,1.5,motion_events,0
2010-12-11,Medium,4.16,3.57,first_exit_minutes,1
2010-12-12,Normal,0.9,0.76,minutes_living_room,0
2010-12-13,Normal,0.59,0.45,minutes_living_room,0
2010-12-14,Normal,0.47,0.47,first_exit_minutes,0
2010-12-15,Normal,1.61,1.08,motion_events,0
2010-12-16,Normal,1.51,1.32,first_exit_minutes,0
2010-12-17,Normal,0.18,0.18,first_exit_minutes,0
2010-12-18,Normal,1.51,1.39,first_exit_minutes,0
2010-12-19,Normal,1.76,1.75,first_exit_minutes,0
2010-12-20,Normal,1.63,0.96,minutes_bedroom,0
2010-12-21,Medium,4.39,4.39,first_exit_minutes,1
2010-12-22,Normal,0.9,0.77,minutes_bathroom,0
2010-12-23,Normal,0.58,0.58,minutes_bathroom,0
2010-12-24,Normal,2.96,2.02,minutes_bathroom,0
2010-12-25,Normal,2.44,2.25,minutes_bathroom,0
2010-12-26,Normal,1.6,1.16,minutes_kitchen,0
2010-12-27,Normal,1.6,1.6,first_exit_minutes,0
2010-12-28,Normal,2.72,2.59,minutes_bathroom,0
2010-12-29,Normal,0.86,0.85,minutes_bedroom,0
2010-12-30,Normal,1.88,1.88,minutes_bedroom,0
2010-12-31,Normal,0.21,0.21,minutes_kitchen,0
2011-01-01,Normal,0.35,0.26,minutes_kitchen,0
2011-01-02,Normal,1.39,1.05,minutes_bedroom,0
2011-01-03,Normal,2.45,2.44,first_exit_minutes,0
2011-01-04,Normal,1.96,1.96,first_exit_minutes,0
2011-01-05,Normal,1.33,0.77,minutes_bedroom,0
